iter	Passed	Remaining
0	35	35865
1	105	52586
2	117	39044
3	135	33752
4	157	31333
5	165	27441
6	171	24348
7	178	22084
8	187	20677
9	208	20598
10	216	19452
11	222	18345
12	229	17393
13	234	16539
14	242	15946
15	250	15383
16	257	14892
17	263	14381
18	271	13993
19	277	13592
20	284	13244
21	290	12899
22	296	12614
23	303	12342
24	317	12385
25	326	12226
26	340	12281
27	349	12119
28	361	12113
29	368	11911
30	374	11694
31	380	11504
32	386	11320
33	391	11127
34	397	10950
35	402	10783
36	408	10633
37	414	10493
38	419	10327
39	425	10218
40	431	10088
41	437	9986
42	481	10722
43	552	12009
44	569	12077
45	580	12041
46	595	12078
47	611	12137
48	618	11998
49	624	11857
50	637	11864
51	654	11933
52	663	11861
53	672	11775
54	680	11690
55	687	11580
56	693	11465
57	700	11383
58	706	11270
59	722	11325
60	736	11337
61	746	11293
62	753	11205
63	761	11131
64	769	11067
65	780	11044
66	787	10959
67	793	10868
68	798	10767
69	803	10676
70	808	10582
71	814	10500
72	821	10428
73	827	10359
74	833	10280
75	839	10206
76	845	10138
77	852	10071
78	937	10931
79	956	10996
80	988	11211
81	1013	11347
82	1021	11284
83	1034	11279
84	1042	11225
85	1048	11143
86	1055	11073
87	1066	11054
88	1078	11044
89	1087	10991
90	1093	10923
91	1099	10849
92	1105	10779
93	1111	10708
94	1118	10656
95	1125	10599
96	1132	10547
97	1139	10492
98	1146	10434
99	1152	10373
100	1159	10320
101	1165	10259
102	1171	10200
103	1177	10141
104	1191	10152
105	1200	10120
106	1215	10141
107	1224	10109
108	1236	10109
109	1244	10068
110	1251	10019
111	1257	9968
112	1263	9919
113	1269	9863
114	1275	9813
115	1344	10244
116	1369	10332
117	1400	10465
118	1427	10564
119	1443	10582
120	1451	10542
121	1457	10492
122	1463	10435
123	1474	10419
124	1489	10425
125	1499	10400
126	1507	10365
127	1516	10329
128	1523	10286
129	1529	10235
130	1539	10211
131	1546	10171
132	1553	10124
133	1560	10083
134	1567	10042
135	1581	10048
136	1592	10032
137	1607	10038
138	1616	10012
139	1628	10004
140	1635	9961
141	1640	9913
142	1645	9864
143	1652	9821
144	1658	9779
145	1665	9740
146	1670	9695
147	1676	9653
148	1704	9737
149	1747	9902
150	1764	9920
151	1797	10027
152	1829	10129
153	1837	10096
154	1851	10095
155	1858	10054
156	1865	10016
157	1878	10008
158	1893	10014
159	1901	9982
160	1907	9940
161	1913	9900
162	1919	9857
163	1925	9816
164	1932	9780
165	1941	9754
166	1948	9720
167	1955	9685
168	1961	9646
169	1968	9610
170	1981	9605
171	1998	9622
172	2009	9604
173	2016	9571
174	2023	9537
175	2030	9506
176	2039	9484
177	2046	9451
178	2051	9411
179	2057	9374
180	2063	9338
181	2069	9300
182	2074	9260
183	2080	9224
184	2086	9189
185	2090	9150
186	2125	9240
187	2150	9290
188	2161	9276
189	2216	9450
190	2240	9490
191	2249	9464
192	2256	9433
193	2262	9398
194	2278	9406
195	2290	9395
196	2297	9363
197	2305	9336
198	2314	9315
199	2321	9286
200	2327	9250
201	2334	9222
202	2341	9192
203	2348	9162
204	2354	9130
205	2360	9098
206	2366	9065
207	2380	9065
208	2388	9040
209	2400	9032
210	2410	9011
211	2418	8989
212	2429	8975
213	2434	8942
214	2440	8911
215	2446	8878
216	2451	8845
217	2457	8816
218	2463	8786
219	2469	8754
220	2475	8727
221	2481	8696
222	2487	8665
223	2552	8842
224	2572	8859
225	2603	8916
226	2639	8988
227	2652	8980
228	2658	8949
229	2665	8923
230	2675	8907
231	2689	8902
232	2698	8882
233	2705	8855
234	2711	8827
235	2717	8797
236	2724	8770
237	2733	8753
238	2741	8729
239	2747	8700
240	2753	8673
241	2759	8644
242	2775	8646
243	2790	8644
244	2800	8631
245	2807	8605
246	2813	8578
247	2820	8552
248	2834	8549
249	2841	8525
250	2848	8498
251	2853	8469
252	2859	8443
253	2865	8415
254	2870	8387
255	2876	8361
256	2883	8336
257	2889	8309
258	2895	8284
259	2902	8260
260	2908	8236
261	2947	8301
262	2964	8307
263	2977	8300
264	2991	8297
265	3014	8318
266	3054	8386
267	3070	8387
268	3083	8378
269	3089	8354
270	3095	8327
271	3101	8301
272	3108	8276
273	3123	8275
274	3135	8267
275	3144	8248
276	3150	8222
277	3156	8198
278	3164	8176
279	3172	8156
280	3178	8132
281	3184	8108
282	3190	8084
283	3197	8060
284	3204	8039
285	3211	8017
286	3217	7992
287	3224	7971
288	3239	7969
289	3253	7964
290	3262	7948
291	3268	7925
292	3280	7916
293	3288	7895
294	3294	7872
295	3299	7847
296	3305	7823
297	3311	7800
298	3317	7777
299	3323	7755
300	3355	7791
301	3392	7840
302	3405	7832
303	3418	7826
304	3432	7822
305	3457	7841
306	3483	7863
307	3498	7859
308	3504	7837
309	3510	7814
310	3516	7789
311	3529	7783
312	3541	7773
313	3549	7753
314	3555	7731
315	3561	7708
316	3567	7687
317	3576	7670
318	3583	7649
319	3589	7628
320	3595	7604
321	3602	7585
322	3612	7571
323	3630	7574
324	3641	7563
325	3648	7542
326	3655	7523
327	3662	7504
328	3670	7485
329	3681	7474
330	3687	7452
331	3693	7432
332	3700	7411
333	3707	7392
334	3713	7370
335	3718	7348
336	3724	7327
337	3748	7340
338	3772	7354
339	3808	7393
340	3832	7406
341	3866	7439
342	3889	7449
343	3903	7443
344	3909	7423
345	3916	7403
346	3928	7392
347	3941	7383
348	3949	7367
349	3956	7347
350	3962	7326
351	3968	7305
352	3975	7286
353	3982	7267
354	3990	7250
355	3997	7230
356	4004	7212
357	4011	7193
358	4017	7172
359	4023	7152
360	4030	7133
361	4035	7113
362	4051	7108
363	4059	7092
364	4074	7088
365	4081	7070
366	4089	7054
367	4096	7035
368	4101	7014
369	4107	6994
370	4113	6974
371	4119	6953
372	4124	6933
373	4132	6916
374	4137	6896
375	4143	6876
376	4160	6875
377	4252	6997
378	4271	6998
379	4281	6985
380	4293	6975
381	4304	6963
382	4311	6945
383	4327	6942
384	4333	6923
385	4339	6903
386	4350	6890
387	4364	6884
388	4374	6870
389	4380	6851
390	4386	6831
391	4393	6814
392	4400	6796
393	4407	6779
394	4414	6761
395	4421	6744
396	4428	6725
397	4435	6708
398	4453	6708
399	4468	6702
400	4475	6685
401	4486	6674
